time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/entropy_loss,train/n_updates,train/loss,train/clip_range,train/value_loss,train/approx_kl,rollout/ep_rew_mean,train/learning_rate,train/policy_gradient_loss,rollout/ep_len_mean,train/explained_variance,train/clip_fraction,eval/mean_ep_length,eval/mean_reward
3766,0,1,250,,,,,,,,,,,,,,
776,0,2,500,-0.5207340496778489,410,42.048240661621094,0.3,73.77978996276856,0.010414948,500.0,0.0003,-0.01026547770554899,500.0,0.09967851638793945,0.015999999716877936,,
786,0,3,750,-0.5446143972873688,420,35.868595123291016,0.3,64.58230735778808,0.0007533471,500.0,0.0003,-0.00010716870829213576,500.0,0.6252680420875549,0.0,,
770,1,4,1000,-0.534872162938118,430,44.581058502197266,0.3,74.26575241088867,0.014889935,500.0,0.0003,-0.015336052645789664,500.0,0.01181572675704956,0.023599999621510506,,
764,1,5,1250,-0.5611115944385529,440,42.73686218261719,0.3,74.0847777557373,0.0030056648,500.0,0.0003,-0.0005284250096985943,500.0,-0.0033458471298217773,0.0,,
761,1,6,1500,-0.5497866237163543,450,45.779048919677734,0.3,74.02644569396972,0.004789139,500.0,0.0003,-0.0038321050680548297,500.0,-0.0039044618606567383,0.0007999999821186065,,
711,2,7,1750,-0.5220994651317596,460,44.627933502197266,0.3,73.82661697387695,0.0108816605,500.0,0.0003,-0.0030893354788247506,500.0,0.0054909586906433105,0.021999999657273294,,
,,,2000,-0.5513825500011444,470,42.43450927734375,0.3,73.70147369384766,0.005271067,,0.0003,-0.0016546301715425215,,0.0017871260643005371,0.0,250.2,250.2
645,3,8,2000,,,,,,,393.4,,,393.4,,,,
674,3,9,2250,-0.5472513830661774,480,113.51441955566406,0.3,173.92524688720704,0.022995014,317.7142857142857,0.0003,-0.01581867346987128,317.7142857142857,0.0005698204040527344,0.09519999966025353,,
689,3,10,2500,-0.5477130234241485,490,68.9724349975586,0.3,119.23830490112304,0.013403354,298.25,0.0003,-0.007915508809965104,298.25,0.0326533317565918,0.03599999949336052,,
681,4,11,2750,-0.5378588736057281,500,40.366790771484375,0.3,61.9958935546875,0.014274511,266.4,0.0003,-0.007796578395459797,266.4,0.7115416526794434,0.015199999809265136,,
686,4,12,3000,-0.5107117474079133,510,173.02957153320312,0.3,128.4842088317871,0.008520839,263.0,0.0003,-0.013099170313561644,263.0,0.3588048815727234,0.018399999588727952,,
686,4,13,3250,-0.5398568677902221,520,31.85004425048828,0.3,59.12378456115723,0.00837554,257.0833333333333,0.0003,-0.002736342112350414,257.0833333333333,0.8789303749799728,0.010399999767541886,,
682,5,14,3500,-0.5416472113132477,530,49.203826904296875,0.3,93.71702209472656,0.011387146,254.30769230769232,0.0003,-0.013524771166592871,254.30769230769232,0.2981998920440674,0.023199999630451204,,
681,5,15,3750,-0.5459701716899872,540,47.21781921386719,0.3,75.87118537902832,0.019037403,259.85714285714283,0.0003,-0.01731909627039567,259.85714285714283,0.9366956502199173,0.05519999973475933,,
,,,4000,-0.5389077877998352,550,26.9249267578125,0.3,53.14564041137695,0.016869823,,0.0003,-0.023868697777704853,,0.9511788561940193,0.08719999969005585,273.4,273.4
652,6,16,4000,,,,,,,264.2,,,264.2,,,,
664,6,17,4250,-0.5232200574874878,560,94.34161376953125,0.3,134.53838150024413,0.011800324,264.2,0.0003,-0.010625914518773776,264.2,-0.0023584365844726562,0.03759999975562096,,
667,6,18,4500,-0.5241815131902695,570,41.752986907958984,0.3,71.64980506896973,0.0021012367,278.9375,0.0003,-0.0012933602642965524,278.9375,0.05122107267379761,0.0,,
672,7,19,4750,-0.5489601814746856,580,40.55326843261719,0.3,67.45447105407715,0.0019976923,278.9375,0.0003,-0.0017230669873809746,278.9375,-0.027527332305908203,0.0,,
675,7,20,5000,-0.54465596139431,590,41.14241409301758,0.3,71.50121551513672,0.0009495999,291.94117647058823,0.0003,-0.0008341777132244488,291.94117647058823,0.008227169513702393,0.0,,
